@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445544794,32789.74,32790.94,273.76,273.77,34397.94,381.11,381.13,1738.81,1738.87,17196.62,17197.25,358.82,358.84,379.64,379.66
1445545697,32964.61,32965.81,275.22,275.23,34581.39,383.15,383.16,1748.08,1748.15,17288.33,17288.96,360.74,360.75,381.67,381.68
1445546599,32860.41,32934.67,274.35,274.97,34472.08,381.94,382.8,1742.56,1746.5,17233.68,17272.63,359.6,360.41,380.46,381.32
1445547502,32897.54,32922.69,274.66,274.87,34511.03,382.37,382.66,1744.53,1745.86,17253.16,17266.35,360,360.28,380.89,381.18
1445548405,32978.99,33024.5,275.34,275.72,34596.47,383.31,383.84,1748.85,1751.26,17295.87,17319.74,360.9,361.39,381.83,382.36
1445549308,32944.25,33025.7,275.05,275.73,34560.03,382.91,383.86,1747,1751.32,17277.65,17320.37,360.52,361.41,381.43,382.37
1445550211,32940.66,33004.14,275.02,275.55,34556.26,382.87,383.61,1746.81,1750.18,17275.77,17309.06,360.48,361.17,381.39,382.12
1445551114,32939.46,32952.64,275.01,275.12,34555.01,382.85,383.01,1746.75,1747.45,17275.14,17282.05,360.46,360.61,381.38,381.53
1445552017,32861.61,32873.58,274.36,274.46,34473.33,381.95,382.09,1742.62,1743.26,17234.31,17240.59,359.61,359.74,380.47,380.61
1445552920,32841.24,32927.48,274.19,274.91,34451.97,381.71,382.71,1741.54,1746.12,17223.63,17268.86,359.39,360.33,380.24,381.24
1445553823,32923.89,32935.87,274.88,274.98,34538.67,382.67,382.81,1745.92,1746.56,17266.97,17273.26,360.29,360.42,381.19,381.33
1445554726,32822.08,32911.91,274.03,274.78,34431.87,381.49,382.53,1740.53,1745.29,17213.58,17260.69,359.18,360.16,380.02,381.06
1445555630,32897.54,32935.87,274.66,274.98,34511.03,382.37,382.81,1744.53,1746.56,17253.16,17273.26,360,360.42,380.89,381.33
