@relation mail

@attribute time real
@attribute html real
@attribute text real
@attribute nonmultipart real
@attribute multipart_text real
@attribute multipart_nontext real
@attribute url real
@attribute urlper real
@attribute spam_word real
@attribute spam_f real
@attribute nonspam real
@attribute spam real

@data
1250694000,0,6,5,1,0,78,0.29994654,0.05132772,24.33324786,5,1
1250780400,2,4,1,5,0,78,0.29994654,0.05132772,24.33324786,3,3
1250866800,1,9,6,4,0,130,0.4999109,0.0855462,40.5554131,7,3
1250953200,0,4,0,4,0,52,0.19996436,0.03421848,16.22216524,0,4
1251039600,0,2,2,0,0,26,0.09998218,0.01710924,8.11108262,1,1
1251126000,0,4,3,1,0,52,0.19996436,0.03421848,16.22216524,3,1
1251212400,2,6,6,2,0,104,0.39992872,0.06843696,32.44433048,6,2
1251298800,0,7,6,1,0,91,0.34993763,0.05988234,28.38878917,5,2
1251385200,1,6,4,3,0,91,0.34993763,0.05988234,28.38878917,5,2
1251471600,0,6,3,3,0,78,0.29994654,0.05132772,24.33324786,3,3
1251558000,1,4,1,4,0,65,0.24995545,0.0427731,20.27770655,1,4
1251644400,0,0,0,0,0,0,0,0,0,0,0
1251730800,0,8,3,5,0,104,0.39992872,0.06843696,32.44433048,3,5
1251817200,1,3,3,1,0,52,0.19996436,0.03421848,16.22216524,3,1
1251903600,0,8,5,3,0,104,0.39992872,0.06843696,32.44433048,5,3
1251990000,1,4,0,5,0,65,0.24995545,0.0427731,20.27770655,1,4
1252076400,0,5,2,3,0,65,0.24995545,0.0427731,20.27770655,1,4
1252162800,0,4,1,3,0,52,0.19996436,0.03421848,16.22216524,0,4
1252249200,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1252335600,1,5,4,2,0,78,0.29994654,0.05132772,24.33324786,3,3
1252422000,1,7,4,4,0,104,0.39992872,0.06843696,32.44433048,3,5
1252508400,0,11,7,4,0,143,0.54990199,0.09410082,44.61095441,3,8
1252594800,0,7,4,3,0,91,0.34993763,0.05988234,28.38878917,4,3
1252681200,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1252767600,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1252854000,0,0,0,0,0,0,0,0,0,0,0
1252940400,1,8,7,2,0,117,0.44991981,0.07699158,36.49987179,4,5
1253026800,1,4,3,2,0,65,0.24995545,0.0427731,20.27770655,4,1
1253113200,1,7,6,2,0,104,0.39992872,0.06843696,32.44433048,5,3
1253199600,1,6,2,5,0,91,0.34993763,0.05988234,28.38878917,3,4
1253286000,0,4,3,1,0,52,0.19996436,0.03421848,16.22216524,3,1
1253372400,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1253458800,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1253545200,0,1,1,0,0,13,0.04999109,0.00855462,4.05554131,0,1
1253631600,0,1,0,1,0,13,0.04999109,0.00855462,4.05554131,0,1
1253718000,0,3,3,0,0,39,0.14997327,0.02566386,12.16662393,1,2
1253804400,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1253890800,0,4,2,2,0,52,0.19996436,0.03421848,16.22216524,1,3
1253977200,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1254063600,0,1,1,0,0,13,0.04999109,0.00855462,4.05554131,1,0
1254150000,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1254236400,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1254322800,0,9,7,2,0,117,0.44991981,0.07699158,36.49987179,5,4
1254409200,0,6,2,4,0,78,0.29994654,0.05132772,24.33324786,2,4
1254495600,0,3,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1254582000,0,2,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1254668400,1,2,1,2,0,39,0.14997327,0.02566386,12.16662393,2,1
1254754800,0,3,1,2,0,39,0.14997327,0.02566386,12.16662393,1,2
1254841200,0,3,3,0,0,39,0.14997327,0.02566386,12.16662393,2,1
1254927600,1,2,2,1,0,39,0.14997327,0.02566386,12.16662393,2,1
1255014000,0,5,3,2,0,65,0.24995545,0.0427731,20.27770655,3,2
1255100400,1,3,1,3,0,52,0.19996436,0.03421848,16.22216524,1,3
1255186800,0,3,0,3,0,39,0.14997327,0.02566386,12.16662393,0,3
1255273200,1,1,0,2,0,26,0.09998218,0.01710924,8.11108262,0,2
1255359600,0,2,1,1,0,26,0.09998218,0.01710924,8.11108262,1,1
